CODIGO MUNICIPIO;LATITUDE;LONGITUDE
240010;-6.4;-36.6
240020;-5.5;-36.9
240030;-5.4;-36.5
240040;-6.2;-38.2
240050;-6.4;-38.0
240060;-6.1;-37.7
240070;-5.2;-36.7
240080;-5.6;-36.5
240090;-6.2;-37.9
240100;-5.6;-37.7
240110;-4.9;-37.1
240120;-6.1;-35.15
240130;-5.8;-37.3
240140;-6.3;-3.1
240145;-5.0;-37.6
240150;-5.9;-35.9
240160;-5.6;-35.8
240165;-5.9;-36.4
240170;-5.9;-35.5
240180;-6.1;-35.3
240185;-5.0;-36.0
240190;-5.7;-35.9
240200;-6.4;-37.0
240210;-6.2;-36.1
240220;-6.3;-35.1
240230;-5.7;-37.5
240240;-6.5;-36.5
240250;-5.3;-36.8
240260;-5.6;-35.4
240270;-6.0;-36.3
240280;-6.3;-36.2
240290;-6.2;-38.4
240300;-6.4;-36.7
240310;-6.2;-36.5
240320;-6.0;-38.3
240325;-5.9;-35.2
240330;-6.1;-38.2
240340;-6.9;-36.7
240350;-6.3;-35.2
240360;-5.0;-35.2
240370;-5.0;-37.6
240375;-5.6;-36.5
240380;-6.1;-36.8
240390;-6.0;-38.1
240400;-6.1;-37.8
240410;-5.0;-36.2
240420;-6.2;-35.1
240430;-5.4;-37.5
240440;-4.9;-37.1
240450;-5.0;-36.3
240460;-5.8;-35.5
240470;-5.4;-36.8
240480;-6.8;-37.1
240485;-5.6;-36.8
240490;-5.8;-37.9
240500;-6.4;-36.1
240510;-5.3;-36.1
240520;-6.0;-37.2
240530;-6.1;-35.5
240540;-6.4;-35.9
240550;-5.6;-35.9
240560;-6.3;-37.3
240570;-6.5;-36.7
240580;-5.5;-35.8
240590;-6.2;-37.7
240600;-6.3;-38.2
240610;-6.0;-37.0
240615;-6.2;-35.3
240620;-6.3;-35.5
240630;-6.1;-35.4
240640;-6.0;-35.8
240650;-6.0;-36.4
240660;-6.1;-35.4
240670;-5.6;-36.2
240680;-6.1;-36.1
240690;-6.1;-37.8
240700;-6.4;-38.3
240710;-5.8;-35.3
240720;-5.1;-36.6
240725;-6.0;-38.3
240730;-6.2;-38.1
240740;-6.0;-37.9
240750;-5.5;-35.2
240760;-6.0;-37.5
240770;-6.4;-35.2
240780;-6.0;-35.3
240790;-6.4;-35.7
240800;-5.1;-37.3
240810;-5.7;-35.1
240820;-6.0;-35.1
240830;-6.4;-35.4
240840;-5.9;-37.1
240850;-6.0;-36.9
240860;-6.4;-38.3
240870;-5.7;-37.0
240880;-5.2;-35.8
240890;-6.6;-36.6
240895;-5.2;-35.3
240910;-6.4;-35.6
240920;-6.2;-35.3
240930;-6.1;-37.6
240933;-5.8;-35.6
240940;-6.1;-38.1
240950;-5.1;-35.8
240960;-5.5;-36.0
240970;-5.5;-36.3
240980;-6.4;-35.2
240990;-5.2;-36.7
241000;-6.2;-38.0
241010;-5.6;-35.6
241020;-6.0;-37.9
241025;-5.0;-36.7
241030;-6.0;-35.7
241040;-5.4;-35.5
241050;-6.1;-38.2
241060;-6.0;-37.7
241070;-5.9;-37.9
241080;-6.2;-38.3
241090;-5.8;-35.8
241100;-5.7;-38.0
241105;-4.8;-37.2
241110;-5.8;-35.9
241120;-6.2;-36.0
241140;-5.9;-36.6
241142;-6.7;-36.7
241150;-6.3;-35.4
241160;-5.0;-35.9
241170;-6.3;-36.0
241180;-6.3;-37.1
241190;-5.9;-38.1
241200;-5.7;-35.3
241210;-6.7;-37.1
241220;-6.0;-35.2
241230;-6.3;-35.7
241240;-6.4;-36.8
241250;-6.2;-38.4
241255;-5.1;-35.6
241260;-5.8;-35.7
241270;-5.8;-35.6
241280;-5.7;-36.9
241290;-5.9;-36.0
241300;-6.2;-36.6
241310;-6.0;-35.6
241320;-6.1;-35.1
241330;-6.4;-35.1
241335;-5.1;-37.0
241340;-6.6;-37.3
241350;-6.2;-35.4
241355;-6.1;-37.9
241360;-5.7;-37.9
241370;-6.0;-35.9
241380;-5.9;-38.0
241390;-5.6;-35.5
241400;-6.1;-35.7
241410;-6.4;-38.1
241415;-6.1;-36.7
241420;-6.1;-35.0
241430;-6.4;-37.2
241440;-5.1;-35.4
241445;-5.8;-37.1
